,100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
Bubble Sort,2.291,11.761000000000001,45.459,100.78099999999998,186.019,493.883,1603.147,2668.3669999999997,4644.961,7167.366,10040.692,13677.713999999998,17777.757999999998
Selection Sort,1.1729999999999998,6.218999999999999,22.237000000000002,49.917000000000016,90.149,138.97099999999998,553.237,1244.131,2233.3920000000003,3430.996,4911.488,6670.933,8675.456999999999
Merge Sort,0.607,1.748,3.7039999999999997,4.713,5.981000000000002,7.878,17.141,26.111,36.478,46.361000000000004,57.105000000000004,67.521,78.38900000000001
Quick Sort,0.297,1.2970000000000002,1.793,3.623,3.7840000000000003,4.744,12.523000000000001,20.633000000000003,30.841,43.99,57.99100000000001,75.849,91.001
Counting Sort,0.39899999999999997,0.2,0.40800000000000003,0.8190000000000002,0.396,0.889,1.6,1.8200000000000003,2.255,2.59,3.1900000000000004,3.590000000000001,4.287000000000001
